Name,Phone,City,Neighborhood,Address,Gmaps_URL,Plus_Code,Lat,Lng,
Pharmacie Tarik Ibn Ziad,+212 80-8519468,Tetouan,,"Imm Nouria, Local 5, Avenue Le Caire, Tetouan 93040, Maroc","https://www.google.com/maps/place/Pharmacie+Wilaya+Center/@35.5785483,-5.4043295,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tetouan+Morocco!6e2!3m4!1s0xd0b43c338443329:0xbe71e0121c340570!8m2!3d35.5871023!4d-5.3426023?hl=en","HMP4+RX Tetouan, Morocco","35,5871023","-5,3426023","35,5871023-5,3426023"
Pharmacie La corniche صيدلية الكورنيش,+212 80-8505540,Oujda,,"mosquée arreda, 5 lot hamedi trik al fath lazaret a coté, Oujda 60000, Maroc","https://www.google.com/maps/place/pharmacie+Abi+Inane/@34.6873691,-1.9362899,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Oujda-Angad+Morocco!6e2!3m4!1s0xd7863523b40db7b:0x4ca4919a81cc3acc!8m2!3d34.692712!4d-1.8751321?hl=en","M4VF+3W Oujda, Morocco","34,692712","-1,8751321","34,692712-1,8751321"
Pharmacie Khlalfa,+212 80-8504084,Oujda,,"Oujda, Maroc","https://www.google.com/maps/place/Pharmacie+Oued+Eddahab/@34.6873691,-1.9362899,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Oujda-Angad+Morocco!6e2!3m4!1s0xd78633aeb89dc65:0x52dabade1728d365!8m2!3d34.6838549!4d-1.8821538?hl=en","M4M9+G4 Oujda, Morocco","34,6838549","-1,8821538","34,6838549-1,8821538"
Pharmacie Bab Nouader,+212 80-8356035,Essaouira,,"Essaouira, Maroc","https://www.google.com/maps/place/pharmacie+alborj/@31.5030517,-9.7675374,15z/data=!4m9!1m3!2m2!1sPharmacies+in+Essaouira+Morocco!6e2!3m4!1s0xdad9be9c6155d63:0xd5b99cf77d31765e!8m2!3d31.5030517!4d-9.7587827?hl=en","G63R+6F Essaouira, Morocco","31,5030517","-9,7587827","31,5030517-9,7587827"
Pharmacie Roudani,+212 777-339015,Tangier,,"Pharmacie Addoha Rif, entrée gzenaya ZI, Tanger, Maroc","https://www.google.com/maps/place/Pharmacie+Addoha+Rif/@35.7678679,-5.8575298,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tangier+Morocco!6e2!3m4!1s0xd0b89f1dd0c714f:0x754a994debc3b9c!8m2!3d35.708716!4d-5.9019884?hl=en","P35X+F6 Tangier, Morocco","35,708716","-5,9019884","35,708716-5,9019884"
Pharmacie Achour,+212 771-855060,Azrou,,"Lotissement adam, Azrou, Maroc","https://www.google.com/maps/place/Pharmacie+Adam/@33.4901355,-5.2378867,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Ifrane+Morocco!6e2!3m4!1s0xda1db3505555555:0xd9a19c6d3ea228d3!8m2!3d33.4427194!4d-5.22471?hl=en","CQVG+34 Azrou, Morocco","33,4427194","-5,22471","33,4427194-5,22471"
Pharmacie Mouloudia Oujda,+212 771-100022,Salé,,"Salé, Maroc","https://www.google.com/maps/place/Pharmacie+Technopolis/@34.5899093,-5.260769,5z/data=!4m9!1m3!2m2!1sPharmacies+in+Sale+Morocco!6e6!3m4!1s0xda7412f8cf9cee3:0x8096239903584a11!8m2!3d33.9916361!4d-6.7230913?hl=en","X7RG+MQ Salé, Morocco","33,9916361","-6,7230913","33,9916361-6,7230913"
Aghbalou Pharmacie,+212 770-794632,Rabat,,"Avenue Chebanate, Rabat, Maroc","https://www.google.com/maps/place/Pharmacie+Al+Oum/@33.9850792,-6.9282303,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Rabat+Morocco!6e2!3m4!1s0xda76d181e882f13:0x22d412ae253e9672!8m2!3d33.9838858!4d-6.8885508?hl=en","X4M6+HH Rabat, Morocco","33,9838858","-6,8885508","33,9838858-6,8885508"
Ahabry Pharmacie,+212 770-794632,Rabat,,"Rabat, Maroc","https://www.google.com/maps/place/Pharmacie+IBN-TOFAIL/@33.9802963,-6.8917971,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Rabat+Morocco!6e2!3m4!1s0xda76cb0e7796fab:0x2eb418b599637ba!8m2!3d33.9715952!4d-6.8498185?hl=en","X5C2+J3 Rabat, Morocco","33,9715952","-6,8498185","33,9715952-6,8498185"
Pharmacie LAKHDARA,+212 770-794632,Rabat,,"Rabat, Maroc","https://www.google.com/maps/place/Ideal+pharmacy/@33.9881861,-6.8957512,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Rabat+Morocco!6e2!3m4!1s0xda76d3bb8d32633:0x41f3361809d934bd!8m2!3d33.9752653!4d-6.8925968?hl=en","X4G4+4X Rabat, Morocco","33,9752653","-6,8925968","33,9752653-6,8925968"
Pharmacie Le Corail Salam,+212 770-794632,Rabat,,"Ave Mohamed Ben Abdellah, Rabat, Maroc","https://www.google.com/maps/place/Al+Atlas+Pharmacy/@33.9886051,-6.8813883,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Rabat+Morocco!6e2!3m4!1s0xda76cfc7363737d:0xf88266517351192f!8m2!3d33.9987966!4d-6.8729809?hl=en","X4XG+GR Rabat, Morocco","33,9987966","-6,8729809","33,9987966-6,8729809"
Pharmacie Les Colonnes,+212 770-794632,Rabat,,"Rabat, Maroc","https://www.google.com/maps/place/Pharmacie+Al+Fatih+%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D9%81%D8%A7%D8%AA%D8%AD%E2%80%AD/@33.9802963,-6.8917971,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Rabat+Morocco!6e2!3m4!1s0xda76b5cf73287d5:0xb26093bf1f2a073!8m2!3d33.9826453!4d-6.8267356?hl=en","X5MF+38 Rabat, Morocco","33,9826453","-6,8267356","33,9826453-6,8267356"
Pharmacie les urgences صيدلية المستعجلات,+212 770-794632,Rabat,,"Rabat, Maroc","https://www.google.com/maps/place/Pharmacie+Oqba/@34.5899093,-5.260769,5z/data=!4m9!1m3!2m2!1sPharmacies+in+Sale+Morocco!6e6!3m4!1s0xda76c896ab944d3:0x4aee00fdefe270a0!8m2!3d34.0026019!4d-6.8503181?hl=en","243X+2V Rabat, Morocco","34,0026019","-6,8503181","34,0026019-6,8503181"
Pharmacie Al Hassoune,+212 766-806921,Bir Rami,,"172 rue 15 lot jnane 5, Bir Rami, Maroc","https://www.google.com/maps/place/Pharmacie+Lafouissi+%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D9%84%D9%81%D9%88%D9%8A%D8%B3%D9%8A%E2%80%AD/@34.2499794,-6.6571474,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Kenitra+Morocco!6e2!3m4!1s0xda75b8488ba1e17:0x2edababc328438c!8m2!3d34.2290059!4d-6.6106524?hl=en","69HQ+JP Bir Rami, Morocco","34,2290059","-6,6106524","34,2290059-6,6106524"
Pharmacie sakhra,+212 762-968764,Taourirt,,"Taourirt, Maroc","https://www.google.com/maps/place/Pharmacie+numero+1/@34.4053095,-2.9134981,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Taourirt+Morocco!6e2!3m4!1s0xd9d6370315a73df:0x1d52aeba952fbe2a!8m2!3d34.3989214!4d-2.9067139?hl=en","93XV+H8 Taourirt, Morocco","34,3989214","-2,9067139","34,3989214-2,9067139"
Pharmacier de France,+212 708-220479,Tetouan,,,"https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%AD%D9%88%D9%85%D8%A9+%D8%A7%D9%84%D9%84%D9%88%D8%AD%D8%A9%E2%80%AD/@35.5785483,-5.4043295,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tetouan+Morocco!6e2!3m4!1s0xd0b43a41781ce29:0x4cb9611d6a4b06b4!8m2!3d35.585068!4d-5.3664779?hl=en",,"35,585068","-5,3664779","35,585068-5,3664779"
Pharmacie Ouled Bouziri,+212 708-000608,Sidi Slimane,,"Hay Laymoune Bloc 27 N 07, Sidi Slimane, Maroc","https://www.google.com/maps/place/Pharmacie+Chifaa/@34.2597418,-5.9437044,14z/data=!4m8!1m2!2m1!1sPharmacies+in+Sidi+Slimane+Morocco!3m4!1s0xda09b1777a8c9a5:0x2cb3e038a11a5d0a!8m2!3d34.2512644!4d-5.9293265?hl=en","732C+G7 Sidi Slimane, Morocco","34,2512644","-5,9293265","34,2512644-5,9293265"
Pharmacie Saada,+212 707-765118,Tantan,,"Tantan 82000, Maroc","https://www.google.com/maps/place/Ibn+Sina+Pharmacy/@28.4367824,-11.117163,14z/data=!4m8!1m2!2m1!1sPharmacies+in+Tan-Tan+Morocco!3m4!1s0xc4a90dad574a1eb:0x7b5aad8ff3ce4c14!8m2!3d28.4410224!4d-11.0852369?hl=en","CWR7+CW Tantan, Morocco","28,4410224","-11,0852369","28,4410224-11,0852369"
Pharmacie Annacer صيدلية النصر,+212 707-727093,Deroua,,"Deroua, Maroc","https://www.google.com/maps/place/Parapharmacie+RIM/@33.2681968,-7.7189014,11z/data=!4m9!1m3!2m2!1sPharmacies+in+Berrechid+Morocco!6e2!3m4!1s0xda63b2abfa08a35:0x9c8f32bf6a2fa78d!8m2!3d33.3790895!4d-7.5321311?hl=en","9FH9+J4 Deroua, Morocco","33,3790895","-7,5321311","33,3790895-7,5321311"
Pharmacie March 3,+212 707-713017,Safi,,"N 12 rue royal quartier miftah lkheir, Safi, Maroc","https://www.google.com/maps/place/PARAPHARMACIE+Ghandi/@32.2853176,-9.2679678,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Safi+Morocco!6e2!3m4!1s0xdac2194ea4ac117:0x527cc925613ecb2a!8m2!3d32.3139058!4d-9.2307164?hl=en","8Q79+HP Safi, Morocco","32,3139058","-9,2307164","32,3139058-9,2307164"
Pharmacie Chahrazad,+212 707-177199,Guercif,,"Guercif, Maroc","https://www.google.com/maps/place/Pharmacie+harchat+gambir/@34.2459051,-3.3667943,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Taourirt+Morocco!6e2!3m4!1s0xd9d932d14cb488d:0x7017271baffde17f!8m2!3d34.2459051!4d-3.3492848?hl=en","6MW2+97 Guercif, Morocco","34,2459051","-3,3492848","34,2459051-3,3492848"
Pharmacie Centrale,+212 707-161916,Fquih Ben Salah,,"Douar ahl souss Had bradia, Fquih Ben Salah 23302, Maroc","https://www.google.com/maps/place/Pharmacie+ahl+souss/@32.42289,-6.5469165,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Beni+Mellal+Morocco!6e2!3m4!1s0xda4714616dc4f87:0x9fdd05dfebd1bea2!8m2!3d32.42289!4d-6.529407?hl=en","CFFC+56 Fquih Ben Salah, Morocco","32,42289","-6,529407","32,42289-6,529407"
Pharmacie SIBERIA,+212 707-124774,Taza,,"Lotissement Konouz, N°17, Massira, Tazaa, Maroc","https://www.google.com/maps/place/Pharmacie+Omar+Al+Khayam/@34.2184843,-4.025961,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Taza+Morocco!6e2!3m4!1s0xd9e1702588a8575:0x152ceafe92204ddd!8m2!3d34.2282179!4d-3.9897204?hl=en","62H6+74 Taza, Morocco","34,2282179","-3,9897204","34,2282179-3,9897204"
Pharmacie ROUTE MARRAKECH,+212 707-060563,Tangier,,"3290, Chraka, Tanger, Maroc","https://www.google.com/maps/place/Pharmacy+Chraka+Al+Koubra/@35.6838146,-5.9761077,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Asilah+Morocco!6e2!3m4!1s0xd0b89a00a313431:0xb77d155449ae531c!8m2!3d35.6838146!4d-5.9060699?hl=en","M3MV+GH Tangier, Morocco","35,6838146","-5,9060699","35,6838146-5,9060699"
Pharmacie Place Des Fetes,+212 707-042973,Tamait Izder,,"P1010, Tamait Izder, Maroc","https://www.google.com/maps/place/Pharmacie+Al-Irfane/@30.4000052,-9.4036539,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Oulad+Teima+Morocco!6e2!3m4!1s0xdb3cff26d41f11d:0x256ea95998186b73!8m2!3d30.4000052!4d-9.3861444?hl=en","CJ27+2G Tamait Izder, Morocco","30,4000052","-9,3861444","30,4000052-9,3861444"
Pharmacie Ismaili,+212 706-494195,Nador,,"Nador, Maroc","https://www.google.com/maps/place/Pharmacie+Bouaarourou+Al+Jadid/@35.1567881,-2.9751324,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Nador+Morocco!6e2!3m4!1s0xd77a7803e6cbe61:0x79662d53f4e2d68!8m2!3d35.1582188!4d-2.9113136?hl=en","535Q+7F Nador, Morocco","35,1582188","-2,9113136","35,1582188-2,9113136"
Pharmacie Ghofran,+212 706-480399,Meknes,,"Unnamed Road, Meknès, Maroc","https://www.google.com/maps/place/Pharmacie+bab+kbich/@33.8632552,-5.5868022,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Meknes+Morocco!6e2!3m4!1s0xda045915375d409:0x7172e7cf631a304b!8m2!3d33.8632552!4d-5.5517833?hl=en","VC7X+87 Meknes, Morocco","33,8632552","-5,5517833","33,8632552-5,5517833"
Pharmacie El Ahl,+212 701-608434,Khouribga,,"Rue Oussama Ibn Zayd, Yassmina, Khouribga, Maroc","https://www.google.com/maps/place/PHARMACIE+QADI+AYAD/@32.8850645,-6.933063,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Khouribga+Morocco!6e2!3m4!1s0xda42710ea28fc01:0x34977e5d3caf8248!8m2!3d32.8684929!4d-6.9156009?hl=en","V39M+9Q Khouribga, Morocco","32,8684929","-6,9156009","32,8684929-6,9156009"
Pharmacie El Baraka,+212 701-608434,Khouribga,,"Rue Essahaba, Khouribga, Maroc","https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D9%82%D8%A7%D8%B6%D9%8A+%D8%B9%D9%8A%D8%A7%D8%B6+-+Pharmacie+Qadi+Ayad%E2%80%AD/@32.8850645,-6.933063,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Khouribga+Morocco!6e2!3m4!1s0xda69dc9db84b6ff:0x4daf7b64164fd063!8m2!3d32.894787!4d-6.89087?hl=en","V4V5+WM Khouribga, Morocco","32,894787","-6,89087","32,894787-6,89087"
Pharmacie Adouzze,+212 701-589196,Azrou,,"122, حي الاطلس 2 احداف ازرو، Maroc","https://www.google.com/maps/place/PHARMACIE+TAKOUINE/@33.4901355,-5.2378867,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Ifrane+Morocco!6e2!3m4!1s0xda1c4cd7d96e41d:0xa09d3acea31dffd4!8m2!3d33.4515569!4d-5.2288407?hl=en","FQ2C+JF Azrou, Morocco","33,4515569","-5,2288407","33,4515569-5,2288407"
Pharmacie Centrale,+212 701-586460,Ghazoua,,"Unnamed Road, Ghazoua, Maroc","https://www.google.com/maps/place/Pharmacie+Essalam/@31.4529116,-9.7428882,15z/data=!4m9!1m3!2m2!1sPharmacies+in+Essaouira+Morocco!6e2!3m4!1s0xdad9b254721ccd1:0x618bd3bd3db1233e!8m2!3d31.4529116!4d-9.7341335?hl=en","F738+58 Ghazoua, Morocco","31,4529116","-9,7341335","31,4529116-9,7341335"
Pharmacie Victoria Parc,+212 700-880733,Tiflet,,"Unnamed Road, Tiflet, Maroc","https://www.google.com/maps/place/Pharmacie+Ibn+Nafiss/@33.9003216,-6.3518373,10z/data=!4m9!1m3!2m2!1sPharmacies+in+Khemisset+Morocco!6e2!3m4!1s0xda0cd46ea0377d9:0xa8168ac282b8b3f!8m2!3d33.8949648!4d-6.3307083?hl=en","VMV9+XP Tiflet, Morocco","33,8949648","-6,3307083","33,8949648-6,3307083"
Pharmacie Palestine,+212 700-853130,Skhirat,,"Lot. Al Haoud- Résidence، Skhirat 12050, Maroc","https://www.google.com/maps/place/Pharmacie+Bassatine+Skhirat/@33.8449495,-7.0831235,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Skhirate+Morocco!6e2!3m4!1s0xda709cc3e8257c1:0xec7e1dd7335698ba!8m2!3d33.8375795!4d-7.0389791?hl=en","RXQ6+2C Skhirat, Morocco","33,8375795","-7,0389791","33,8375795-7,0389791"
Pharmacie de l'hopital,+212 700-808586,Kenitra,,"2072,bir rami ,jenane 3, Kénitra, Maroc","https://www.google.com/maps/place/Pharmacie+Jenane+Ikbal/@34.2499794,-6.6571474,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Kenitra+Morocco!6e2!3m4!1s0xda75a36446794b5:0xf1a47638e3ba0d15!8m2!3d34.2213894!4d-6.6140158?hl=en","69CP+H9 Kenitra, Morocco","34,2213894","-6,6140158","34,2213894-6,6140158"
Pharmacie De Paris صيدلية باريس,+212 700-805267,Kenitra,,"Kenitra, Maroc","https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%A7%D9%84%D9%85%D8%B5%D9%84%D9%89%E2%80%AD/@34.2499794,-6.6571474,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Kenitra+Morocco!6e2!3m4!1s0xda7574ec5b1b887:0x69d41bf0cf9cb00f!8m2!3d34.2517591!4d-6.5631311?hl=en","7C2P+PP Kenitra, Morocco","34,2517591","-6,5631311","34,2517591-6,5631311"
Pharmacie Timahdit,+212 700-761585,Tetouan,,"N13, Tetouan, Maroc","https://www.google.com/maps/place/PHARMACIE+CHTOUKI/@35.5785483,-5.4043295,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tetouan+Morocco!6e2!3m4!1s0xd0b6938be79fca1:0xf278be8d77eab7d7!8m2!3d35.5670588!4d-5.4044459?hl=en","HH8W+R6 Tetouan, Morocco","35,5670588","-5,4044459","35,5670588-5,4044459"
Pharmacie Hay Louz,+212 700-730720,Meknes,,"AC3 RÉSIDENCE ASSAFAE TRANCHE 2 RIAD ALOMRANE OUISLANE، Meknes, Maroc","https://www.google.com/maps/place/Pharmacie+ASRAR+ASSIHA/@33.9041684,-5.5049238,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Meknes+Morocco!6e2!3m4!1s0xda0451555555555:0xd78284ad407adfa!8m2!3d33.9041684!4d-5.4699049?hl=en","WG3J+M2 Meknes, Morocco","33,9041684","-5,4699049","33,9041684-5,4699049"
Pharmacie CHERKAOUI,+212 700-023444,Ihajjamen,,"DR, Ihajjamen, Maroc","https://www.google.com/maps/place/Pharmacie+Ihajjamen/@35.1567881,-2.9751324,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Nador+Morocco!6e2!3m4!1s0xd77a9dd8c72989d:0x7af8d188ae15fdbb!8m2!3d35.1132781!4d-2.9847474?hl=en","4278+84 Ihajjamen, Morocco","35,1132781","-2,9847474","35,1132781-2,9847474"
Princess Pharmacie,+212 698-350178,Ben Yakhlef,,Maroc,"https://www.google.com/maps/place/Pharmacie+Centre+De+Sant%C3%A9/@33.6717496,-7.4696074,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Mohammedia+Morocco!6e2!3m4!1s0xda7b40476333bf1:0xd9f4533c8950397e!8m2!3d33.6611663!4d-7.3589107?hl=en","MJ6R+FC Ben Yakhlef, Morocco","33,6611663","-7,3589107","33,6611663-7,3589107"
Pharmacie Abouab Essalam,+212 696-538664,Assam,,"327,lotissement el, Assam, Maroc","https://www.google.com/maps/place/PHARMACIE+LOTISSEMENT+EL+ASSAM/@34.3031077,-6.5312061,11z/data=!4m9!1m3!2m2!1sPharmacies+in+Sidi+Yahia+El+Gharb+Morocco!6e2!3m4!1s0xda7572e79a8e3d1:0x6e8e3704f7d85d6!8m2!3d34.2866652!4d-6.5370141?hl=en","7FP7+M5 Assam, Morocco","34,2866652","-6,5370141","34,2866652-6,5370141"
Pharmacie TAKOUINE,+212 696-417191,Temsia,,"Commune, Temsia, Maroc","https://www.google.com/maps/place/Para+temsia+(parapharmacie)/@30.3932002,-9.4852183,10z/data=!4m9!1m3!2m2!1sPharmacies+in+Oulad+Teima+Morocco!6e2!3m4!1s0xdb3c50d7266cd05:0x86ff651743a477c7!8m2!3d30.3650839!4d-9.4142261?hl=en","9H8P+28 Temsia, Morocco","30,3650839","-9,4142261","30,3650839-9,4142261"
Pharmacie des autoroutes,+212 696-320878,Kenitra,,"Kenitra, Maroc","https://www.google.com/maps/place/%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9+%D8%A8%D9%88%D8%B5%D8%AD%D8%A7%D8%A8%D8%A9+Pharmacie+Boushaba%E2%80%AD/@34.2499794,-6.6571474,12z/data=!4m9!1m3!2m2!1sPharmacies+in+Kenitra+Morocco!6e2!3m4!1s0xda75126c8091cd9:0x9327c1bae8279bc4!8m2!3d34.2301277!4d-6.5316966?hl=en","6FJ9+38 Kenitra, Morocco","34,2301277","-6,5316966","34,2301277-6,5316966"
Pharmacie Assafar صيدلية أسفار,+212 695-909172,El Jadida,,"Avenue Attahrir, El Jadida, Maroc","https://www.google.com/maps/place/Pharmacie+El+Manar/@33.2392065,-8.5366998,13z/data=!4m9!1m3!2m2!1sPharmacies+in+El+Jadid+Morocco!6e6!3m4!1s0xda91dc46cbf07ef:0xaa82c2e6e6e49d4a!8m2!3d33.2516427!4d-8.5126448?hl=en","7F2P+MW El Jadida, Morocco","33,2516427","-8,5126448","33,2516427-8,5126448"
Pharmacie Tarmigte Ouarzazate,+212 694-758182,Tetouan,,"35°36'01.0""N 5°19'39., Boulevard 2, Tetouan, Maroc","https://www.google.com/maps/place/Pharmacie+Souani/@35.5785483,-5.4043295,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tetouan+Morocco!6e2!3m4!1s0xd0b436a6be2851f:0x5aa3ed227c7863a3!8m2!3d35.600283!4d-5.327568?hl=en","JM2C+4X Tetouan, Morocco","35,600283","-5,327568","35,600283-5,327568"
Pharmacie Touijar صيدلية التويجر,+212 694-758182,Tetouan,,"35°34'44. 5°23'16., 6 Rue 6, Mohammedia, Maroc","https://www.google.com/maps/place/Pharmacie+Haoumat+Issaoua/@35.5785483,-5.4043295,13z/data=!4m9!1m3!2m2!1sPharmacies+in+Tetouan+Morocco!6e2!3m4!1s0xd0b4287250ed92f:0x9bb17dd7afa2527b!8m2!3d35.57905!4d-5.387954?hl=en","HJH6+JR Tetouan, Morocco","35,57905","-5,387954","35,57905-5,387954"
Pharmacie Jnanat Sidi Daoud,+212 694-575433,Oued Zem,,"P13, Oued Zem, Maroc","https://www.google.com/maps/place/Ibtisam+Pharmacy/@32.8640385,-6.5913866,14z/data=!4m9!1m3!2m2!1sPharmacies+in+Khouribga+Morocco!6e2!3m4!1s0xda402d5ccd9ba7f:0x337b547b1d36bad0!8m2!3d32.8640385!4d-6.5738771?hl=en","VC7G+JC Oued Zem, Morocco","32,8640385","-6,5738771","32,8640385-6,5738771"
